submission name,revised name,hits,number of common atoms,number of atoms,smiles,silane smiles,dummy smiles,thio smiles,issue
AGN-NEW-5f0-1,AGN-NEW-5f0-1_ACR1,"x0434,x0540",19,37,C=CC(=O)N1CC(CCN(C(=O)Nc2c(C)ncc(C)c2CCN2CCOCC2)c2cc(C)ccn2)C1,Cc1ccnc(N(CCC2CN(C(=O)CC[SiH3])C2)C(=O)Nc2c(C)ncc(C)c2CCN2CCOCC2)c1,*CCC(=O)N1CC(CCN(C(=O)Nc2c(C)ncc(C)c2CCN2CCOCC2)c2cc(C)ccn2)C1,Cc1ccnc(N(CCC2CN(C(=O)CC[S-])C2)C(=O)Nc2c(C)ncc(C)c2CCN2CCOCC2)c1,
AGN-NEW-63f-1,AGN-NEW-63f-1_ACR1,x0434,16,27,C=CC(=O)NC1CN(c2cc(C)cc(Cl)c2)C(=O)N(c2cnccc2C)C1,Cc1cc(Cl)cc(N2CC(NC(=O)CC[SiH3])CN(c3cnccc3C)C2=O)c1,*CCC(=O)NC1CN(c2cc(C)cc(Cl)c2)C(=O)N(c2cnccc2C)C1,Cc1cc(Cl)cc(N2CC(NC(=O)CC[S-])CN(c3cnccc3C)C2=O)c1,
AGN-NEW-63f-2,AGN-NEW-63f-2_ACR1,x0434,16,27,C=CC(=O)NC1CN(c2cc(C)cc(F)c2)C(=O)N(c2cnccc2C)C1,Cc1cc(F)cc(N2CC(NC(=O)CC[SiH3])CN(c3cnccc3C)C2=O)c1,*CCC(=O)NC1CN(c2cc(C)cc(F)c2)C(=O)N(c2cnccc2C)C1,Cc1cc(F)cc(N2CC(NC(=O)CC[S-])CN(c3cnccc3C)C2=O)c1,
AGN-NEW-cce-1,AGN-NEW-cce-1_ACR1,x0434,9,23,C=CC(=O)Nc1c(C)cccc1CC(=O)Nc1cccnc1Cl,Cc1cccc(CC(=O)Nc2cccnc2Cl)c1NC(=O)CC[SiH3],*CCC(=O)Nc1c(C)cccc1CC(=O)Nc1cccnc1Cl,Cc1cccc(CC(=O)Nc2cccnc2Cl)c1NC(=O)CC[S-],
AGN-NEW-cce-2,AGN-NEW-cce-2_ACR1,x0434,9,23,C=CC(=O)Nc1c(Cl)cccc1CC(=O)Nc1cccnc1C,Cc1ncccc1NC(=O)Cc1cccc(Cl)c1NC(=O)CC[SiH3],*CCC(=O)Nc1c(Cl)cccc1CC(=O)Nc1cccnc1C,Cc1ncccc1NC(=O)Cc1cccc(Cl)c1NC(=O)CC[S-],
AGN-NEW-cce-3,AGN-NEW-cce-3_ACR1,x0434,9,24,C=CC(=O)Nc1c(C)ccc(C)c1CC(=O)Nc1cccnc1Cl,Cc1ccc(C)c(NC(=O)CC[SiH3])c1CC(=O)Nc1cccnc1Cl,*CCC(=O)Nc1c(C)ccc(C)c1CC(=O)Nc1cccnc1Cl,Cc1ccc(C)c(NC(=O)CC[S-])c1CC(=O)Nc1cccnc1Cl,
ANT-OPE-ab3-1,ANT-OPE-ab3-1_ACR1,x0104,11,18,CN(C)C/C=C/C(=O)Nc1c[nH]c2ccccc12,CN(C)CC([SiH3])CC(=O)Nc1c[nH]c2ccccc12,*C(CC(=O)Nc1c[nH]c2ccccc12)CN(C)C,CN(C)CC([S-])CC(=O)Nc1c[nH]c2ccccc12,
ANT-OPE-ab3-2,ANT-OPE-ab3-2_ACR1,x0104,14,19,CN(C)C/C=C/C(=O)NCc1c[nH]c2ccccc12,CN(C)CC([SiH3])CC(=O)NCc1c[nH]c2ccccc12,*C(CC(=O)NCc1c[nH]c2ccccc12)CN(C)C,CN(C)CC([S-])CC(=O)NCc1c[nH]c2ccccc12,
ANT-OPE-b90-1,ANT-OPE-b90-1_ACR1,x0072,9,28,C=CC(=O)NCCc1c[nH]c2c(NCc3ccc4[nH]cnc4c3)cc(F)cc12,O=C(CC[SiH3])NCCc1c[nH]c2c(NCc3ccc4[nH]cnc4c3)cc(F)cc12,*CCC(=O)NCCc1c[nH]c2c(NCc3ccc4[nH]cnc4c3)cc(F)cc12,O=C(CC[S-])NCCc1c[nH]c2c(NCc3ccc4[nH]cnc4c3)cc(F)cc12,
ANT-OPE-c0c-1,ANT-OPE-c0c-1_ACR1,x0831,17,18,C=CC(=O)N1CCCN(Cc2ccccc2)CC1,O=C(CC[SiH3])N1CCCN(Cc2ccccc2)CC1,*CCC(=O)N1CCCN(Cc2ccccc2)CC1,O=C(CC[S-])N1CCCN(Cc2ccccc2)CC1,
